time	V(a1)	V(vout)	V(vouts2)	V(n001)
0.000000000000000e+000	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
9.999999717180685e-010	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
1.999999943436137e-009	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
3.999999886872274e-009	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
7.999999773744548e-009	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
1.599999954748910e-008	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
3.199999909497819e-008	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
6.399999818995639e-008	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
1.279999963799128e-007	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
2.559999927598256e-007	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
5.119999855196511e-007	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
1.023999971039302e-006	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
2.047999942078604e-006	9.500001e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
4.095999884157209e-006	9.500001e-003	-3.552392e+000	-3.552427e+000	9.500001e-003
1.638399953662884e-005	9.500002e-003	-3.552392e+000	-3.552425e+000	9.500001e-003
9.601023728464501e-003	9.500865e-003	-3.552392e+000	-3.551193e+000	9.500496e-003
1.918566345739237e-002	9.501729e-003	-3.552392e+000	-3.549954e+000	9.500992e-003
2.877030318632024e-002	9.502593e-003	-3.552392e+000	-3.548706e+000	9.501487e-003
3.835494291524812e-002	9.503456e-003	-3.552392e+000	-3.547451e+000	9.501982e-003
4.793958264417599e-002	9.504320e-003	-3.552392e+000	-3.546188e+000	9.502478e-003
5.752422237310386e-002	9.505183e-003	-3.552392e+000	-3.544918e+000	9.502973e-003
6.710886210203171e-002	9.506046e-003	-3.552392e+000	-3.543639e+000	9.503468e-003
1.342177242040634e-001	9.512072e-003	-3.552392e+000	-3.534503e+000	9.506936e-003
2.684354484081268e-001	9.523993e-003	-3.552391e+000	-3.515477e+000	9.513873e-003
4.924462978451343e-001	9.543154e-003	-3.552389e+000	-3.482479e+000	9.525449e-003
7.899016517147021e-001	9.566266e-003	-3.552385e+000	-3.437881e+000	9.540820e-003
9.275316454619274e-001	9.575771e-003	-3.552381e+000	-3.417474e+000	9.547932e-003
1.027237413076760e+000	9.582121e-003	-3.552377e+000	-3.403096e+000	9.553083e-003
1.101673297760377e+000	9.586553e-003	-3.552374e+000	-3.392695e+000	9.556930e-003
1.184049054800601e+000	9.591144e-003	-3.552370e+000	-3.381600e+000	9.561185e-003
1.283521873810521e+000	9.596241e-003	-3.552364e+000	-3.368791e+000	9.566324e-003
1.386601625449070e+000	9.601011e-003	-3.552356e+000	-3.356396e+000	9.571649e-003
1.553907827969883e+000	9.607670e-003	-3.552341e+000	-3.338549e+000	9.580292e-003
1.821597915176390e+000	9.615773e-003	-3.552312e+000	-3.314600e+000	9.594117e-003
2.031915565357253e+000	9.620321e-003	-3.552284e+000	-3.299685e+000	9.604977e-003
2.164736478869020e+000	9.622589e-003	-3.552263e+000	-3.292495e+000	9.611835e-003
2.336117285605300e+000	9.625074e-003	-3.552233e+000	-3.285824e+000	9.620682e-003
2.607205415692910e+000	9.628696e-003	-3.552175e+000	-3.280122e+000	9.634673e-003
2.763987360871835e+000	9.631038e-003	-3.552137e+000	-3.278805e+000	9.642763e-003
3.015631761058973e+000	9.635869e-003	-3.552069e+000	-3.277891e+000	9.655744e-003
3.257020834720283e+000	9.642418e-003	-3.551998e+000	-3.277294e+000	9.668192e-003
3.486589208701700e+000	9.650907e-003	-3.551923e+000	-3.275680e+000	9.680026e-003
3.735996284129085e+000	9.662967e-003	-3.551832e+000	-3.270615e+000	9.692879e-003
3.824781487994715e+000	9.667996e-003	-3.551798e+000	-3.267652e+000	9.697453e-003
3.969117976435012e+000	9.676979e-003	-3.551740e+000	-3.261076e+000	9.704888e-003
4.201556569361798e+000	9.693408e-003	-3.551640e+000	-3.246400e+000	9.716856e-003
4.480826626249682e+000	9.715825e-003	-3.551512e+000	-3.223370e+000	9.731229e-003
4.614172795258781e+000	9.727289e-003	-3.551447e+000	-3.209956e+000	9.738090e-003
4.871730143283878e+000	9.750190e-003	-3.551313e+000	-3.178534e+000	9.751335e-003
5.156025400434152e+000	9.775562e-003	-3.551150e+000	-3.137943e+000	9.765946e-003
5.357961729519456e+000	9.792889e-003	-3.551024e+000	-3.106858e+000	9.776319e-003
5.818823735524546e+000	9.827665e-003	-3.550711e+000	-3.034741e+000	9.799973e-003
6.004578670368128e+000	9.838901e-003	-3.550570e+000	-3.006563e+000	9.809500e-003
6.190333605211709e+000	9.848665e-003	-3.550420e+000	-2.981218e+000	9.819022e-003
6.376088540055290e+000	9.856955e-003	-3.550261e+000	-2.958705e+000	9.828538e-003
6.561843474898871e+000	9.863773e-003	-3.550092e+000	-2.939025e+000	9.838050e-003
6.747598409742452e+000	9.869117e-003	-3.549915e+000	-2.922178e+000	9.847557e-003
6.933353344586034e+000	9.872989e-003	-3.549728e+000	-2.908164e+000	9.857059e-003
7.119108279429614e+000	9.875387e-003	-3.549532e+000	-2.896983e+000	9.866555e-003
7.241815379717763e+000	9.876825e-003	-3.549396e+000	-2.892181e+000	9.872825e-003
7.364522480005912e+000	9.878423e-003	-3.549256e+000	-2.888117e+000	9.879093e-003
7.487229580294061e+000	9.880182e-003	-3.549111e+000	-2.884790e+000	9.885358e-003
7.609936680582210e+000	9.882102e-003	-3.548962e+000	-2.882202e+000	9.891621e-003
7.732643780870358e+000	9.884182e-003	-3.548808e+000	-2.880352e+000	9.897881e-003
7.855350881158507e+000	9.886423e-003	-3.548650e+000	-2.879240e+000	9.904138e-003
7.978057981446655e+000	9.888825e-003	-3.548487e+000	-2.878866e+000	9.910393e-003
8.306421755093417e+000	9.898911e-003	-3.548036e+000	-2.875440e+000	9.927116e-003
