time	V(va)
1.116658685990174e-002	4.069992e-001
1.134446074383031e-002	3.543488e-001
1.152233462775889e-002	3.011514e-001
1.170020851168746e-002	2.474069e-001
1.187808239561602e-002	1.931155e-001
1.205595627954459e-002	1.382771e-001
1.223383016347316e-002	8.289164e-002
1.231753552061602e-002	5.686229e-002
1.240124087775888e-002	3.083656e-002
1.248494623490173e-002	4.814463e-003
1.256865159204459e-002	-2.120401e-002
1.265235694918745e-002	-4.721886e-002
1.273606230633030e-002	-7.323007e-002
1.281976766347316e-002	-9.923767e-002
1.300810471704459e-002	-1.578313e-001
1.319644177061601e-002	-2.157514e-001
1.338477882418744e-002	-2.729980e-001
1.357311587775887e-002	-3.295712e-001
1.376145293133029e-002	-3.854709e-001
1.394978998490172e-002	-4.406971e-001
1.413812703847315e-002	-4.952498e-001
1.446248529740171e-002	-5.873067e-001
1.478684355633028e-002	-6.741241e-001
1.511120181525885e-002	-7.557021e-001
1.543556007418742e-002	-8.320406e-001
1.575991833311599e-002	-9.031396e-001
1.608427659204456e-002	-9.689991e-001
1.640863485097312e-002	-1.029619e+000
1.664928775275884e-002	-1.069546e+000
1.688994065454455e-002	-1.105280e+000
1.713059355633026e-002	-1.136822e+000
1.737124645811597e-002	-1.164170e+000
1.761189935990169e-002	-1.187326e+000
1.785255226168740e-002	-1.206290e+000
1.809320516347311e-002	-1.221060e+000
1.818737369025882e-002	-1.225539e+000
1.828154221704453e-002	-1.229327e+000
1.837571074383025e-002	-1.232425e+000
1.846987927061596e-002	-1.234832e+000
1.856404779740168e-002	-1.236549e+000
1.865821632418739e-002	-1.237574e+000
1.875238485097310e-002	-1.237910e+000
1.881516386883024e-002	-1.237746e+000
1.887794288668739e-002	-1.237274e+000
1.894072190454453e-002	-1.236494e+000
1.900350092240167e-002	-1.235407e+000
1.906627994025881e-002	-1.234013e+000
1.912905895811596e-002	-1.232310e+000
1.919183797597310e-002	-1.230300e+000
1.940110136883024e-002	-1.221274e+000
1.961036476168738e-002	-1.208983e+000
1.981962815454452e-002	-1.193425e+000
2.002889154740166e-002	-1.174602e+000
2.023815494025880e-002	-1.152513e+000
2.044741833311594e-002	-1.127159e+000
2.065668172597308e-002	-1.098539e+000
2.100196632418737e-002	-1.043586e+000
2.134725092240165e-002	-9.820826e-001
2.169253552061593e-002	-9.140280e-001
2.203782011883021e-002	-8.394224e-001
2.238310471704450e-002	-7.582658e-001
2.272838931525878e-002	-6.705581e-001
2.307367391347306e-002	-5.762995e-001
2.328293730633020e-002	-5.174826e-001
2.349220069918734e-002	-4.576565e-001
2.370146409204448e-002	-3.968211e-001
2.391072748490163e-002	-3.349765e-001
2.411999087775877e-002	-2.721227e-001
2.432925427061591e-002	-2.082597e-001
2.453851766347305e-002	-1.433875e-001
2.497797078847304e-002	-6.986573e-003
2.504074980633018e-002	1.255724e-002
2.510352882418733e-002	3.208580e-002
2.516630784204447e-002	5.159908e-002
2.522908685990161e-002	7.109710e-002
2.529186587775876e-002	9.057984e-002
2.535464489561590e-002	1.100473e-001
2.541742391347304e-002	1.294995e-001
2.562668730633018e-002	1.944734e-001
2.583595069918732e-002	2.584749e-001
2.604521409204446e-002	3.215040e-001
2.625447748490160e-002	3.835609e-001
2.646374087775874e-002	4.446454e-001
2.667300427061588e-002	5.047576e-001
2.688226766347302e-002	5.638975e-001
2.722755226168731e-002	6.587763e-001
2.757283685990159e-002	7.471781e-001
2.791812145811587e-002	8.291030e-001
2.826340605633015e-002	9.045509e-001
2.860869065454444e-002	9.735219e-001
2.895397525275872e-002	1.036016e+000
2.929925985097300e-002	1.092033e+000
2.950852324383014e-002	1.121317e+000
2.971778663668728e-002	1.147347e+000
2.992705002954443e-002	1.170123e+000
