time	V(a1)	V(vout)	V(vouts2)
1.773277868399002e+001	1.039554e-002	-3.478491e+000	-1.998436e+000
1.812664814928903e+001	1.041448e-002	-3.476495e+000	-1.960928e+000
1.852051761458804e+001	1.043336e-002	-3.474422e+000	-1.923282e+000
1.891438707988705e+001	1.045218e-002	-3.472274e+000	-1.885499e+000
1.933811407316859e+001	1.047235e-002	-3.469878e+000	-1.844714e+000
1.976184106645014e+001	1.049244e-002	-3.467385e+000	-1.803791e+000
2.018556805973168e+001	1.051245e-002	-3.464797e+000	-1.762730e+000
2.060929505301322e+001	1.053238e-002	-3.462112e+000	-1.721532e+000
2.103302204629475e+001	1.055223e-002	-3.459331e+000	-1.680197e+000
2.145674903957630e+001	1.057200e-002	-3.456454e+000	-1.638724e+000
2.188047603285784e+001	1.059169e-002	-3.453481e+000	-1.597113e+000
2.216260669361466e+001	1.060475e-002	-3.451446e+000	-1.569341e+000
2.244473735437149e+001	1.061777e-002	-3.449365e+000	-1.541516e+000
2.272686801512831e+001	1.063076e-002	-3.447238e+000	-1.513639e+000
2.300899867588514e+001	1.064370e-002	-3.445065e+000	-1.485709e+000
2.329112933664196e+001	1.065660e-002	-3.442847e+000	-1.457727e+000
2.357325999739879e+001	1.066946e-002	-3.440583e+000	-1.429692e+000
2.385539065815561e+001	1.068229e-002	-3.438274e+000	-1.401604e+000
2.427555017293413e+001	1.070131e-002	-3.434755e+000	-1.359686e+000
2.469570968771265e+001	1.072024e-002	-3.431130e+000	-1.317670e+000
2.511586920249118e+001	1.073906e-002	-3.427399e+000	-1.275556e+000
2.553602871726970e+001	1.075780e-002	-3.423563e+000	-1.233345e+000
2.595618823204822e+001	1.077643e-002	-3.419621e+000	-1.191037e+000
2.637634774682675e+001	1.079497e-002	-3.415573e+000	-1.148631e+000
2.679650726160527e+001	1.081342e-002	-3.411419e+000	-1.106128e+000
2.720509909720095e+001	1.083126e-002	-3.407274e+000	-1.064714e+000
2.761369093279664e+001	1.084899e-002	-3.403026e+000	-1.023229e+000
2.802228276839233e+001	1.086663e-002	-3.398673e+000	-9.816745e-001
2.843087460398802e+001	1.088417e-002	-3.394216e+000	-9.400497e-001
2.883946643958371e+001	1.090160e-002	-3.389655e+000	-8.983548e-001
2.924805827517939e+001	1.091894e-002	-3.384989e+000	-8.565899e-001
2.965665011077508e+001	1.093617e-002	-3.380220e+000	-8.147549e-001
3.005672791810650e+001	1.095295e-002	-3.375445e+000	-7.737337e-001
3.045680572543792e+001	1.096962e-002	-3.370567e+000	-7.326654e-001
3.085688353276934e+001	1.098618e-002	-3.365584e+000	-6.915500e-001
3.125696134010076e+001	1.100264e-002	-3.360498e+000	-6.503877e-001
3.165703914743218e+001	1.101900e-002	-3.355307e+000	-6.091782e-001
3.205711695476360e+001	1.103525e-002	-3.350013e+000	-5.679217e-001
3.245719476209502e+001	1.105139e-002	-3.344614e+000	-5.266181e-001
3.287865352716556e+001	1.106828e-002	-3.338816e+000	-4.830675e-001
3.330011229223610e+001	1.108505e-002	-3.332900e+000	-4.394876e-001
3.372157105730664e+001	1.110169e-002	-3.326865e+000	-3.958785e-001
3.414302982237718e+001	1.111821e-002	-3.320712e+000	-3.522402e-001
3.456448858744772e+001	1.113460e-002	-3.314440e+000	-3.085727e-001
3.498594735251826e+001	1.115086e-002	-3.308050e+000	-2.648761e-001
3.540740611758880e+001	1.116700e-002	-3.301541e+000	-2.211502e-001
3.581345779647077e+001	1.118243e-002	-3.295157e+000	-1.790071e-001
3.621950947535274e+001	1.119773e-002	-3.288661e+000	-1.368587e-001
3.662556115423471e+001	1.121291e-002	-3.282053e+000	-9.470497e-002
3.703161283311668e+001	1.122797e-002	-3.275334e+000	-5.254598e-002
3.743766451199866e+001	1.124290e-002	-3.268504e+000	-1.038169e-002
3.784371619088062e+001	1.125770e-002	-3.261562e+000	3.178791e-002
3.824976786976259e+001	1.127239e-002	-3.254508e+000	7.396280e-002
3.864492462549271e+001	1.128655e-002	-3.247535e+000	1.150006e-001
3.904008138122284e+001	1.130059e-002	-3.240455e+000	1.560236e-001
3.943523813695296e+001	1.131451e-002	-3.233269e+000	1.970316e-001
3.983039489268308e+001	1.132830e-002	-3.225975e+000	2.380248e-001
4.022555164841321e+001	1.134197e-002	-3.218574e+000	2.790030e-001
4.062070840414333e+001	1.135551e-002	-3.211066e+000	3.199664e-001
4.101586515987345e+001	1.136893e-002	-3.203451e+000	3.609148e-001
4.143261866799330e+001	1.138294e-002	-3.195305e+000	4.040754e-001
4.184937217611315e+001	1.139681e-002	-3.187039e+000	4.471972e-001
4.226612568423300e+001	1.141053e-002	-3.178654e+000	4.902800e-001
4.268287919235286e+001	1.142411e-002	-3.170150e+000	5.333240e-001
4.309963270047271e+001	1.143754e-002	-3.161526e+000	5.763290e-001
4.351638620859256e+001	1.145082e-002	-3.152783e+000	6.192952e-001
4.393313971671241e+001	1.146396e-002	-3.143920e+000	6.622226e-001
4.428420716799295e+001	1.147491e-002	-3.136360e+000	6.983426e-001
4.463527461927349e+001	1.148575e-002	-3.128717e+000	7.344202e-001
4.498634207055402e+001	1.149649e-002	-3.120989e+000	7.704553e-001
4.533740952183456e+001	1.150712e-002	-3.113176e+000	8.064479e-001
4.568847697311510e+001	1.151763e-002	-3.105279e+000	8.423981e-001
4.603954442439564e+001	1.152805e-002	-3.097298e+000	8.783059e-001
4.639061187567617e+001	1.153835e-002	-3.089233e+000	9.141712e-001
4.679253634619988e+001	1.155001e-002	-3.079894e+000	9.551726e-001
4.719446081672358e+001	1.156152e-002	-3.070445e+000	9.960992e-001
