time	V(a1)	V(vout)	V(vouts2)	V(n001)
0.000000000000000e+000	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
9.999999717180685e-010	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
1.999999943436137e-009	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
3.999999886872274e-009	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
7.999999773744548e-009	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
1.599999954748910e-008	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
3.199999909497819e-008	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
6.399999818995639e-008	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
1.279999963799128e-007	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
2.559999927598256e-007	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
5.119999855196511e-007	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
1.023999971039302e-006	9.500000e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
2.047999942078604e-006	9.500001e-003	-3.552392e+000	-3.552427e+000	9.500000e-003
4.095999884157209e-006	9.500001e-003	-3.552392e+000	-3.552427e+000	9.500001e-003
1.638399953662884e-005	9.500002e-003	-3.552392e+000	-3.552425e+000	9.500001e-003
9.601023728464501e-003	9.500862e-003	-3.552392e+000	-3.551198e+000	9.500496e-003
1.918566345739237e-002	9.501722e-003	-3.552392e+000	-3.549964e+000	9.500992e-003
2.877030318632024e-002	9.502583e-003	-3.552392e+000	-3.548722e+000	9.501487e-003
3.835494291524812e-002	9.503442e-003	-3.552392e+000	-3.547473e+000	9.501982e-003
4.793958264417599e-002	9.504302e-003	-3.552392e+000	-3.546216e+000	9.502478e-003
5.752422237310386e-002	9.505162e-003	-3.552392e+000	-3.544951e+000	9.502973e-003
6.710886210203171e-002	9.506021e-003	-3.552392e+000	-3.543679e+000	9.503468e-003
1.342177242040634e-001	9.512022e-003	-3.552392e+000	-3.534589e+000	9.506936e-003
2.684354484081268e-001	9.523897e-003	-3.552391e+000	-3.515664e+000	9.513873e-003
4.940117342281473e-001	9.543131e-003	-3.552389e+000	-3.482611e+000	9.525530e-003
7.901476571102890e-001	9.566124e-003	-3.552385e+000	-3.438421e+000	9.540833e-003
9.277060846583420e-001	9.575649e-003	-3.552381e+000	-3.418097e+000	9.547940e-003
1.027366224132692e+000	9.582028e-003	-3.552377e+000	-3.403754e+000	9.553090e-003
1.101770396702967e+000	9.586490e-003	-3.552374e+000	-3.393364e+000	9.556934e-003
1.184167309338549e+000	9.591122e-003	-3.552370e+000	-3.382257e+000	9.561191e-003
1.283565930743956e+000	9.596275e-003	-3.552364e+000	-3.369426e+000	9.566327e-003
1.386673317168862e+000	9.601118e-003	-3.552356e+000	-3.356965e+000	9.571653e-003
1.554023761697661e+000	9.607911e-003	-3.552342e+000	-3.338944e+000	9.580297e-003
1.821780899341785e+000	9.616252e-003	-3.552312e+000	-3.314601e+000	9.594127e-003
2.031936971627252e+000	9.620981e-003	-3.552284e+000	-3.299311e+000	9.604978e-003
2.164751742543598e+000	9.623354e-003	-3.552263e+000	-3.291838e+000	9.611836e-003
2.336131359127132e+000	9.625953e-003	-3.552233e+000	-3.284780e+000	9.620682e-003
2.607215973883374e+000	9.629672e-003	-3.552176e+000	-3.278484e+000	9.634674e-003
2.764004460138273e+000	9.632014e-003	-3.552137e+000	-3.276884e+000	9.642764e-003
3.015658890662694e+000	9.636745e-003	-3.552069e+000	-3.275645e+000	9.655746e-003
3.257024161820355e+000	9.643075e-003	-3.551998e+000	-3.274901e+000	9.668192e-003
3.486590965252601e+000	9.651256e-003	-3.551923e+000	-3.273374e+000	9.680026e-003
3.735996904894726e+000	9.662892e-003	-3.551832e+000	-3.268713e+000	9.692879e-003
3.824782498630921e+000	9.667755e-003	-3.551798e+000	-3.265968e+000	9.697453e-003
3.969119615677975e+000	9.676460e-003	-3.551739e+000	-3.259827e+000	9.704888e-003
4.201559184577741e+000	9.692444e-003	-3.551639e+000	-3.245997e+000	9.716856e-003
4.480826987514578e+000	9.714386e-003	-3.551511e+000	-3.224120e+000	9.731229e-003
4.614173052700311e+000	9.725669e-003	-3.551446e+000	-3.211290e+000	9.738090e-003
4.871730324164588e+000	9.748341e-003	-3.551311e+000	-3.180976e+000	9.751335e-003
5.156025990948747e+000	9.773684e-003	-3.551148e+000	-3.141389e+000	9.765946e-003
5.357962678512761e+000	9.791152e-003	-3.551022e+000	-3.110746e+000	9.776319e-003
5.818824770727621e+000	9.826738e-003	-3.550709e+000	-3.038890e+000	9.799973e-003
6.028419266099577e+000	9.839726e-003	-3.550550e+000	-3.006587e+000	9.810723e-003
6.238013761471533e+000	9.850939e-003	-3.550379e+000	-2.977809e+000	9.821466e-003
6.447608256843489e+000	9.860377e-003	-3.550196e+000	-2.952555e+000	9.832202e-003
6.657202752215445e+000	9.868039e-003	-3.550002e+000	-2.930825e+000	9.842932e-003
6.866797247587402e+000	9.873926e-003	-3.549795e+000	-2.912619e+000	9.853655e-003
7.076391742959358e+000	9.878038e-003	-3.549577e+000	-2.897937e+000	9.864372e-003
7.285986238331314e+000	9.880375e-003	-3.549347e+000	-2.886779e+000	9.875081e-003
7.562348605813107e+000	9.884017e-003	-3.549021e+000	-2.878494e+000	9.889192e-003
8.179500783105068e+000	9.896137e-003	-3.548215e+000	-2.870968e+000	9.920655e-003
8.476662277816203e+000	9.906618e-003	-3.547790e+000	-2.866866e+000	9.935779e-003
8.729705983950886e+000	9.918751e-003	-3.547406e+000	-2.859773e+000	9.948646e-003
9.033334586224395e+000	9.937313e-003	-3.546920e+000	-2.843858e+000	9.964067e-003
9.331601113691676e+000	9.959356e-003	-3.546422e+000	-2.821276e+000	9.979198e-003
9.586212874938408e+000	9.980430e-003	-3.545977e+000	-2.795840e+000	9.992098e-003
9.680918991409092e+000	9.988742e-003	-3.545806e+000	-2.784367e+000	9.996894e-003
